region	hour	value
1	1	88
1	2	20
1	3	44
1	4	0
1	5	33
1	6	2
1	7	400
1	8	900
1	9	25
1	10	1
1	11	57
1	12	61
1	13	22
1	14	25
1	15	7
1	16	55
1	17	51
1	18	4
1	19	17
1	20	20
1	21	4
1	22	4
1	23	6
1	24	12
2	1	6
2	2	22
2	3	0
2	4	0
2	5	33
2	6	5
2	7	4
2	8	8
2	9	28
2	10	99
2	11	51
2	12	66
2	13	38
2	14	39
2	15	60
2	16	22
2	17	65
2	18	50
2	19	22
2	20	11
2	21	12
2	22	9
2	23	33
2	24	13
3	1	5
3	2	8
3	3	44
3	4	0
3	5	12
3	6	2
3	7	5
3	8	12
3	9	34
3	10	43
3	11	54
3	12	44
3	13	40
3	14	48
3	15	54
3	16	59
3	17	60
3	18	51
3	19	21
3	20	16
3	21	9
3	22	5
3	23	24
3	24	7
4	1	22
4	2	33
4	3	102
4	4	33
4	5	0
4	6	2
4	7	4
4	8	13
4	9	26
4	10	58
4	11	61
4	12	59
4	13	53
4	14	54
4	15	64
4	16	55
4	17	52
4	18	53
4	19	18
4	20	3
4	21	9
4	22	12
4	23	2
4	24	8